"Gene","Module"
"bghG000724000002001","brown"
"bgh03185","brown"
"bgh04941","blue"
"bghG000726000001001","turquoise"
"bgh04942","yellow"
"bgh01557","blue"
"bgh05481","green"
"bghG000738000001001","turquoise"
"bgh03148","turquoise"
"bgh02865","magenta"
"bgh06793","yellow"
"bghG000741000001001","turquoise"
"bgh00555","brown"
"bgh02283","blue"
"bgh06036","yellow"
"bgh02862","blue"
"bgh02963","yellow"
"bgh03149","blue"
"bgh00257","turquoise"
"bgh02268","yellow"
"bgh05634","turquoise"
"bghG000745000001001","black"
"bgh05108","pink"
"bgh05895","yellow"
"bgh06270","brown"
"bgh03246","blue"
"bgh02551","brown"
"bgh03151","black"
"bgh03234","turquoise"
"bgh06726","brown"
"bgh03152","brown"
"bgh05668","turquoise"
"bgh03237","yellow"
"bgh03242","black"
"bgh03244","green"
"bghG000748000001001","brown"
"bgh05175","blue"
"bgh05539","blue"
"bgh05354","yellow"
"bghG000749000001001","blue"
"bgh03154","turquoise"
"bgh05821","turquoise"
"bgh03155","turquoise"
"bgh05336","turquoise"
"bgh03987","red"
"bgh04567","yellow"
"bgh02141","blue"
"bgh03954","black"
"bgh03500","green"
"bghG000760000001001","magenta"
"bgh00303","red"
"bgh03209","blue"
"bghG000770000001001","blue"
"bgh01575","turquoise"
"bgh03549","green"
"bgh00072","blue"
"bgh02529","blue"
"bgh04005","blue"
"bgh04694","turquoise"
"bgh01576","turquoise"
"bgh03871","blue"
"bgh00045","blue"
"bgh00209","yellow"
"bgh01418","yellow"
"bgh01578","blue"
"bgh01582","yellow"
"bgh01583","blue"
"bghG000775000001001","turquoise"
"bghG000776000001001","turquoise"
"bgh05713","brown"
"bgh01055","green"
"bghG000792000001001","blue"
"bghG000802000001001","turquoise"
"bgh01006","turquoise"
"bghG000803000001001","turquoise"
"bghG000803000002001","turquoise"
"bgh00014","turquoise"
"bgh06734","turquoise"
"bgh01193","turquoise"
"bgh00044","turquoise"
"bgh06766","turquoise"
"bghG000855000001001","green"
"bghG000856000001001","turquoise"
"bghG000860000001001","turquoise"
"bgh01043","green"
"bgh00065","turquoise"
"bgh01044","brown"
"bgh01105","turquoise"
"bgh06566","blue"
"bgh05143","brown"
"bghG000897000001001","turquoise"
"bgh00468","magenta"
"bgh01194","brown"
"bghG000918000003001","turquoise"
"bgh01723","brown"
"bgh05908","turquoise"
"bgh02018","pink"
"bghG000924000001001","turquoise"
"bgh04815","brown"
"bghG000925000001001","turquoise"
"bghG000927000001001","red"
"bgh00486","blue"
"bgh04804","blue"
"bgh04810","brown"
"bgh00024","turquoise"
"bghG000929000001001","turquoise"
"bgh00477","yellow"
"bgh02525","turquoise"
"bghG000935000001001","brown"
"bgh00488","brown"
"bgh04087","red"
"bgh02389","turquoise"
"bgh05455","brown"
"bgh00485","blue"
"bgh01752","blue"
"bghG000944000001001","brown"
"bgh01706","turquoise"
"bgh04884","brown"
"bgh00469","yellow"
"bgh06083","brown"
"bghG000946000001001","brown"
"bgh01710","blue"
"bgh00470","green"
"bgh00482","blue"
"bgh00484","turquoise"
"bgh04817","brown"
"bgh00011","blue"
"bgh00770","blue"
"bgh02396","red"
"bgh02484","yellow"
"bgh06673","yellow"
"bgh04820","blue"
"bgh05251","yellow"
"bgh00403","yellow"
"bgh01715","yellow"
"bgh02485","black"
"bgh01530","turquoise"
"bgh00471","black"
"bgh00480","turquoise"
"bgh05423","brown"
"bgh00479","turquoise"
"bgh00487","turquoise"
"bgh02492","turquoise"
"bgh00481","yellow"
"bgh04822","blue"
"bgh00472","blue"
"bgh00473","yellow"
"bgh00478","turquoise"
"bgh01824","turquoise"
"bgh05301","turquoise"
"bghG000961000002001","yellow"
"bghG000961000001001","blue"
"bgh02785","green"
"bgh01565","yellow"
"bgh01692","yellow"
"bgh01695","black"
"bgh06316","brown"
"bgh06332","black"
"bghG000964000001001","blue"
"bgh01567","turquoise"
"bgh02790","brown"
"bgh00834","turquoise"
"bgh01839","blue"
"bgh05869","blue"
"bgh00175","red"
"bgh00260","red"
"bgh02415","yellow"
"bgh05791","turquoise"
"bgh04920","green"
"bgh03714","red"
"bgh05349","red"
"bgh02407","brown"
"bgh06460","yellow"
"bghG000997000001001","red"
"bghG000997000002001","yellow"
"bgh02508","brown"
"bgh03906","red"
"bgh04858","yellow"
"bgh06079","purple"
"bgh00753","blue"
"bgh02967","turquoise"
"bgh03905","yellow"
"bghG001014000001001","turquoise"
"bgh00423","blue"
"bgh00445","brown"
"bgh02905","turquoise"
"bgh05525","blue"
"bgh00474","brown"
"bgh03907","brown"
"bgh00433","yellow"
"bgh04851","yellow"
"bghG001015000001001","turquoise"
"bgh04654","brown"
"bgh00422","red"
"bgh02952","blue"
"bgh03522","turquoise"
"bghG001016000001001","turquoise"
"bgh00444","turquoise"
"bgh04658","turquoise"
"bgh06124","blue"
"bgh05948","blue"
